date,EURUSDV1M Curncy,EURUSDV3M Curncy
01/01/2019 00:00,7.28,7.315
02/01/2019 00:00,7.4025,7.43
03/01/2019 00:00,7.365,7.4675
04/01/2019 00:00,6.86,7.035
07/01/2019 00:00,6.8125,6.9875
08/01/2019 00:00,6.76,6.9025
09/01/2019 00:00,6.9775,6.97
10/01/2019 00:00,6.615,6.9425
11/01/2019 00:00,6.5375,6.9075
14/01/2019 00:00,6.7575,6.94
15/01/2019 00:00,6.93,6.97
16/01/2019 00:00,6.6875,6.845
17/01/2019 00:00,6.3675,6.7625
18/01/2019 00:00,6.295,6.745
21/01/2019 00:00,6.445,6.755
22/01/2019 00:00,6.495,6.7
23/01/2019 00:00,6.4625,6.6825
24/01/2019 00:00,6.335,6.72
25/01/2019 00:00,6.0475,6.53
28/01/2019 00:00,6.255,6.6325
29/01/2019 00:00,6.2675,6.635
30/01/2019 00:00,6.195,6.555
31/01/2019 00:00,6.02,6.4675
01/02/2019 00:00,5.7475,6.3025
04/02/2019 00:00,5.595,6.225
05/02/2019 00:00,5.67,6.31
06/02/2019 00:00,5.7775,6.3725
07/02/2019 00:00,5.995,6.455
08/02/2019 00:00,6.01,6.435
11/02/2019 00:00,6.1425,6.5575
12/02/2019 00:00,6.0225,6.445
13/02/2019 00:00,6.15,6.36
14/02/2019 00:00,6.335,6.55
15/02/2019 00:00,6.355,6.585
18/02/2019 00:00,6.2425,6.55
19/02/2019 00:00,6.12,6.425
20/02/2019 00:00,6.0925,6.3475
21/02/2019 00:00,6.175,6.3525
22/02/2019 00:00,5.915,6.2
25/02/2019 00:00,5.6575,5.9925
26/02/2019 00:00,5.53,5.855
27/02/2019 00:00,5.6875,5.9125
28/02/2019 00:00,5.59,5.95
01/03/2019 00:00,5.51,5.85
04/03/2019 00:00,5.745,5.9325
05/03/2019 00:00,5.715,5.955
06/03/2019 00:00,5.865,6.085
07/03/2019 00:00,6.08,6.36
08/03/2019 00:00,5.7525,6.08
11/03/2019 00:00,5.725,5.9175
12/03/2019 00:00,5.7275,5.91
13/03/2019 00:00,5.6,5.8675
14/03/2019 00:00,5.3125,5.77
15/03/2019 00:00,5.1575,5.5
18/03/2019 00:00,5.095,5.385
19/03/2019 00:00,5.1375,5.43
20/03/2019 00:00,5.2625,5.5425
21/03/2019 00:00,5.76,6.025
22/03/2019 00:00,5.635,5.8525
25/03/2019 00:00,5.7025,5.915
26/03/2019 00:00,5.7,5.885
27/03/2019 00:00,5.905,6.115
28/03/2019 00:00,5.855,6.225
29/03/2019 00:00,5.405,5.895
01/04/2019 00:00,5.24,5.5925
02/04/2019 00:00,5.435,5.64
03/04/2019 00:00,5.385,5.62
04/04/2019 00:00,5.265,5.6225
05/04/2019 00:00,4.9,5.45
08/04/2019 00:00,4.9625,5.315
09/04/2019 00:00,4.9575,5.3075
10/04/2019 00:00,4.78,5.225
11/04/2019 00:00,4.315,4.8625
12/04/2019 00:00,4.495,5
15/04/2019 00:00,4.555,4.98
16/04/2019 00:00,4.5,4.9325
17/04/2019 00:00,4.485,4.955
18/04/2019 00:00,4.3725,4.8875
19/04/2019 00:00,4.43,4.9175
22/04/2019 00:00,4.5225,4.965
23/04/2019 00:00,4.795,5.0675
24/04/2019 00:00,5.6875,5.6725
25/04/2019 00:00,5.53,5.81
26/04/2019 00:00,5.2525,5.595
29/04/2019 00:00,5.345,5.59
30/04/2019 00:00,5.27,5.58
01/05/2019 00:00,5.16,5.535
02/05/2019 00:00,4.83,5.445
03/05/2019 00:00,4.84,5.37
06/05/2019 00:00,5.305,5.5175
07/05/2019 00:00,5.32,5.515
08/05/2019 00:00,5.275,5.525
09/05/2019 00:00,5.32,5.605
10/05/2019 00:00,5,5.28
13/05/2019 00:00,5.165,5.375
14/05/2019 00:00,4.9925,5.29
15/05/2019 00:00,5.01,5.34
16/05/2019 00:00,4.845,5.3075
17/05/2019 00:00,4.92,5.3025
20/05/2019 00:00,5.1125,5.29
21/05/2019 00:00,4.95,5.1175
22/05/2019 00:00,4.885,5.105
23/05/2019 00:00,5.125,5.3025
24/05/2019 00:00,5.0825,5.2575
27/05/2019 00:00,4.95,5.18
28/05/2019 00:00,4.8575,5.11
29/05/2019 00:00,4.9575,5.155
30/05/2019 00:00,4.7325,5.0275
31/05/2019 00:00,4.8475,5.0725
03/06/2019 00:00,5.64,5.5275
04/06/2019 00:00,5.705,5.52
05/06/2019 00:00,5.8875,5.65
06/06/2019 00:00,5.635,5.57
07/06/2019 00:00,5.6375,5.575
10/06/2019 00:00,5.57,5.5025
11/06/2019 00:00,5.485,5.4225
12/06/2019 00:00,5.4075,5.4175
13/06/2019 00:00,5.0775,5.29
14/06/2019 00:00,5.12,5.2675
17/06/2019 00:00,5.175,5.2275
18/06/2019 00:00,5.1425,5.265
19/06/2019 00:00,4.8775,5.23
20/06/2019 00:00,5.0025,5.42
21/06/2019 00:00,5.1825,5.475
24/06/2019 00:00,5.59,5.755
25/06/2019 00:00,5.8025,5.7575
26/06/2019 00:00,5.53,5.6475
27/06/2019 00:00,5.4775,5.5975
28/06/2019 00:00,5.6275,5.6425
01/07/2019 00:00,5.4275,5.25
02/07/2019 00:00,5.2475,5.1
03/07/2019 00:00,5.23,5.0875
04/07/2019 00:00,5.1175,5.105
05/07/2019 00:00,4.9575,4.99
08/07/2019 00:00,4.9775,4.955
09/07/2019 00:00,4.9325,4.935
10/07/2019 00:00,4.8425,4.9
11/07/2019 00:00,4.7975,4.945
12/07/2019 00:00,4.8075,4.9575
15/07/2019 00:00,4.9125,4.97
16/07/2019 00:00,4.91,4.9875
17/07/2019 00:00,4.9275,5.005
18/07/2019 00:00,5.06,5.1825
19/07/2019 00:00,5.1175,5.2
22/07/2019 00:00,5.1825,5.1675
23/07/2019 00:00,5.39,5.275
24/07/2019 00:00,5.695,5.585
25/07/2019 00:00,5.0425,5.4125
26/07/2019 00:00,4.875,5.275
29/07/2019 00:00,5.0875,5.5075
30/07/2019 00:00,4.9825,5.4675
31/07/2019 00:00,4.88,5.575
01/08/2019 00:00,5.1175,5.9125
02/08/2019 00:00,5.115,6.04
05/08/2019 00:00,5.81,6.505
06/08/2019 00:00,5.24,6.1375
07/08/2019 00:00,5.615,6.5025
08/08/2019 00:00,5.3225,6.34
09/08/2019 00:00,5.3075,6.46
12/08/2019 00:00,6.145,6.7825
13/08/2019 00:00,5.7125,6.555
14/08/2019 00:00,5.8575,6.5725
15/08/2019 00:00,5.965,6.82
16/08/2019 00:00,5.7775,6.62
19/08/2019 00:00,6.015,6.4625
20/08/2019 00:00,6.005,6.445
21/08/2019 00:00,5.845,6.285
22/08/2019 00:00,5.715,6.285
23/08/2019 00:00,6.1425,6.485
26/08/2019 00:00,6.015,6.36
27/08/2019 00:00,5.55,5.9925
28/08/2019 00:00,5.44,5.93
29/08/2019 00:00,5.5125,6.0475
30/08/2019 00:00,5.8225,6.2225
02/09/2019 00:00,6.155,6.2925
03/09/2019 00:00,6.3225,6.405
04/09/2019 00:00,5.7625,5.9425
05/09/2019 00:00,5.545,5.725
06/09/2019 00:00,5.3025,5.52
09/09/2019 00:00,5.4,5.5225
10/09/2019 00:00,5.625,5.5675
11/09/2019 00:00,6.0425,5.795
12/09/2019 00:00,5.375,5.665
13/09/2019 00:00,5.1375,5.5625
16/09/2019 00:00,5.155,5.505
17/09/2019 00:00,5.2575,5.5425
18/09/2019 00:00,4.965,5.48
19/09/2019 00:00,4.7325,5.3775
20/09/2019 00:00,4.7975,5.53
23/09/2019 00:00,5.1725,5.62
24/09/2019 00:00,5.2975,5.52
25/09/2019 00:00,5.4125,5.565
26/09/2019 00:00,5.4825,5.685
27/09/2019 00:00,5.4675,5.615
30/09/2019 00:00,5.79,5.685
01/10/2019 00:00,5.805,5.635
02/10/2019 00:00,5.795,5.62
03/10/2019 00:00,5.7625,5.635
04/10/2019 00:00,5.43,5.415
07/10/2019 00:00,5.4775,5.3725
08/10/2019 00:00,5.425,5.28
09/10/2019 00:00,5.33,5.2575
10/10/2019 00:00,5.305,5.2575
11/10/2019 00:00,5.49,5.3325
14/10/2019 00:00,5.4,5.23
15/10/2019 00:00,5.445,5.255
16/10/2019 00:00,5.42,5.1775
17/10/2019 00:00,5.4475,5.25
18/10/2019 00:00,5.51,5.175
21/10/2019 00:00,5.45,5.18
22/10/2019 00:00,5.3575,5.1525
23/10/2019 00:00,5.13,5.1275
24/10/2019 00:00,4.905,5.08
25/10/2019 00:00,4.665,4.975
28/10/2019 00:00,4.565,4.915
29/10/2019 00:00,4.6,4.94
30/10/2019 00:00,4.55,5.04
31/10/2019 00:00,4.4875,5.0925
01/11/2019 00:00,4.45,5.065
04/11/2019 00:00,4.5575,5.075
05/11/2019 00:00,4.5125,5.0625
06/11/2019 00:00,4.4875,5.0725
07/11/2019 00:00,4.4475,5.02
08/11/2019 00:00,4.355,4.99
11/11/2019 00:00,4.405,4.955
12/11/2019 00:00,4.7675,4.905
13/11/2019 00:00,4.6725,4.8925
14/11/2019 00:00,4.74,4.865
15/11/2019 00:00,4.78,4.795
18/11/2019 00:00,4.9,4.8325
19/11/2019 00:00,4.81,4.7675
20/11/2019 00:00,4.79,4.7875
21/11/2019 00:00,4.59,4.7575
22/11/2019 00:00,4.47,4.6075
25/11/2019 00:00,4.39,4.5325
26/11/2019 00:00,4.1425,4.4525
27/11/2019 00:00,4.105,4.3675
28/11/2019 00:00,3.94,4.3825
29/11/2019 00:00,4.09,4.4875
02/12/2019 00:00,4.415,4.685
03/12/2019 00:00,4.42,4.635
04/12/2019 00:00,4.425,4.715
05/12/2019 00:00,4.335,4.7475
06/12/2019 00:00,4.3125,4.7875
09/12/2019 00:00,4.42,4.77
10/12/2019 00:00,4.495,4.8
11/12/2019 00:00,4.625,4.925
12/12/2019 00:00,4.545,5.05
13/12/2019 00:00,4.375,5.065
16/12/2019 00:00,4.38,4.94
17/12/2019 00:00,4.4,5.065
18/12/2019 00:00,4.235,4.94
19/12/2019 00:00,3.9975,4.87
20/12/2019 00:00,3.845,4.79
23/12/2019 00:00,3.9475,4.785
24/12/2019 00:00,3.935,4.77
25/12/2019 00:00,3.95,4.77
26/12/2019 00:00,4,4.815
27/12/2019 00:00,4.2725,4.91
30/12/2019 00:00,4.895,5.14
31/12/2019 00:00,5,5.145
01/01/2020 00:00,5.0225,5.135
02/01/2020 00:00,4.6875,5.1
03/01/2020 00:00,4.84,5.18
06/01/2020 00:00,4.7775,5.07
07/01/2020 00:00,4.555,4.9
08/01/2020 00:00,4.37,4.715
09/01/2020 00:00,4.0575,4.52
10/01/2020 00:00,4.0325,4.4425
13/01/2020 00:00,4.2125,4.465
14/01/2020 00:00,4.13,4.445
15/01/2020 00:00,4.1475,4.465
16/01/2020 00:00,3.9375,4.46
17/01/2020 00:00,3.8725,4.4025
20/01/2020 00:00,3.995,4.39
21/01/2020 00:00,3.9475,4.37
22/01/2020 00:00,3.84,4.24
23/01/2020 00:00,3.8575,4.225
24/01/2020 00:00,3.9225,4.2675
27/01/2020 00:00,4.115,4.36
28/01/2020 00:00,4.0625,4.3225
29/01/2020 00:00,3.7825,4.195
30/01/2020 00:00,3.8825,4.24
31/01/2020 00:00,4.145,4.4725
03/02/2020 00:00,3.9825,4.4225
04/02/2020 00:00,3.7725,4.1675
05/02/2020 00:00,3.81,4.1375
06/02/2020 00:00,3.9775,4.16
07/02/2020 00:00,4.0375,4.275
10/02/2020 00:00,4.2675,4.4
11/02/2020 00:00,4.25,4.3775
12/02/2020 00:00,4.345,4.34
13/02/2020 00:00,4.6025,4.6525
14/02/2020 00:00,4.53,4.68
17/02/2020 00:00,4.3975,4.545
18/02/2020 00:00,4.5925,4.6475
19/02/2020 00:00,4.7725,4.675
20/02/2020 00:00,5.045,4.8825
21/02/2020 00:00,4.7625,4.8325
24/02/2020 00:00,5.33,5.205
25/02/2020 00:00,5.4875,5.335
26/02/2020 00:00,5.595,5.3775
27/02/2020 00:00,6.065,5.8725
28/02/2020 00:00,6.83,6.395
02/03/2020 00:00,7.57,6.62
03/03/2020 00:00,7.035,6.175
04/03/2020 00:00,6.0925,5.63
05/03/2020 00:00,7.2725,6.605
06/03/2020 00:00,8.2875,7.4375
09/03/2020 00:00,11.655,9.6775
10/03/2020 00:00,9.59,8.125
11/03/2020 00:00,10.0375,8.6325
12/03/2020 00:00,10.9175,10.0175
13/03/2020 00:00,10.205,9.405
16/03/2020 00:00,11.0375,10.08
17/03/2020 00:00,10.9775,10.0675
18/03/2020 00:00,12.8425,11.665
19/03/2020 00:00,14.91,13.095
20/03/2020 00:00,14.3225,12.3375
23/03/2020 00:00,13.6525,12.0125
24/03/2020 00:00,11.5375,10.2525
25/03/2020 00:00,9.5875,8.93
26/03/2020 00:00,9.6075,8.94
27/03/2020 00:00,9.9675,9.3425
30/03/2020 00:00,9.7975,9.0375
31/03/2020 00:00,9.2525,8.6725
01/04/2020 00:00,9.5025,8.895
02/04/2020 00:00,9.5325,8.945
03/04/2020 00:00,9.6,9.2125
06/04/2020 00:00,8.65,8.52
07/04/2020 00:00,8.4725,8.1925
08/04/2020 00:00,8.09,8.0875
09/04/2020 00:00,7.6925,7.6225
10/04/2020 00:00,7.58,7.5725
13/04/2020 00:00,7.85,7.635
14/04/2020 00:00,7.605,7.4325
15/04/2020 00:00,7.8825,7.675
16/04/2020 00:00,8.16,8.135
17/04/2020 00:00,7.7425,7.8925
20/04/2020 00:00,7.7525,7.84
21/04/2020 00:00,7.9725,7.985
22/04/2020 00:00,7.94,7.975
23/04/2020 00:00,7.9225,8.0225
24/04/2020 00:00,7.7775,8
27/04/2020 00:00,7.605,7.7975
28/04/2020 00:00,7.4725,7.5625
29/04/2020 00:00,6.59,6.855
30/04/2020 00:00,6.335,6.515
01/05/2020 00:00,6.68,6.91
04/05/2020 00:00,7.385,7.1625
05/05/2020 00:00,7.0975,7.1375
06/05/2020 00:00,7.1675,7.23
07/05/2020 00:00,7.15,7.2925
08/05/2020 00:00,6.8725,7.055
11/05/2020 00:00,7.035,7.04
12/05/2020 00:00,6.7925,6.7825
13/05/2020 00:00,6.7625,6.81
14/05/2020 00:00,6.6675,6.845
15/05/2020 00:00,6.5275,6.7025
18/05/2020 00:00,6.6675,6.69
19/05/2020 00:00,6.735,6.6375
20/05/2020 00:00,6.84,6.7575
21/05/2020 00:00,6.49,6.5375
22/05/2020 00:00,6.385,6.54
25/05/2020 00:00,6.47,6.51
26/05/2020 00:00,6.15,6.085
27/05/2020 00:00,6.4125,6.185
28/05/2020 00:00,6.555,6.405
29/05/2020 00:00,6.4175,6.245
01/06/2020 00:00,6.3875,6.205
02/06/2020 00:00,6.59,6.2025
03/06/2020 00:00,7.0575,6.3275
04/06/2020 00:00,6.9,6.4825
05/06/2020 00:00,6.795,6.3875
08/06/2020 00:00,6.99,6.44
09/06/2020 00:00,7.33,6.695
10/06/2020 00:00,7.65,7.0075
11/06/2020 00:00,8.1125,7.6425
12/06/2020 00:00,8.11,7.6225
15/06/2020 00:00,7.785,7.45
16/06/2020 00:00,7.8425,7.275
17/06/2020 00:00,7.705,7.32
18/06/2020 00:00,7.4475,7.3875
19/06/2020 00:00,7.2425,7.2275
22/06/2020 00:00,7.3325,7.245
23/06/2020 00:00,7.5675,7.425
24/06/2020 00:00,7.6975,7.555
25/06/2020 00:00,7.25,7.43
26/06/2020 00:00,7.055,7.185
29/06/2020 00:00,7.3325,7.325
30/06/2020 00:00,7.1175,7.17
01/07/2020 00:00,6.8575,7.045
02/07/2020 00:00,6.635,6.89
03/07/2020 00:00,6.365,6.545
06/07/2020 00:00,6.8375,6.73
07/07/2020 00:00,6.66,6.6125
08/07/2020 00:00,6.5375,6.495
09/07/2020 00:00,6.6175,6.61
10/07/2020 00:00,6.4825,6.48
13/07/2020 00:00,6.8525,6.54
14/07/2020 00:00,6.9225,6.6225
15/07/2020 00:00,6.8675,6.535
16/07/2020 00:00,6.365,6.28
17/07/2020 00:00,6.595,6.4125
20/07/2020 00:00,6.3475,6.295
21/07/2020 00:00,6.525,6.43
22/07/2020 00:00,6.79,6.595
23/07/2020 00:00,6.745,6.675
24/07/2020 00:00,6.9925,6.8
27/07/2020 00:00,8.1675,7.5875
28/07/2020 00:00,7.8125,7.38
29/07/2020 00:00,7.865,7.415
30/07/2020 00:00,7.8525,7.7
31/07/2020 00:00,7.81,7.61
03/08/2020 00:00,7.92,7.6225
04/08/2020 00:00,7.81,8.05
05/08/2020 00:00,8.435,8.54
06/08/2020 00:00,7.9025,8.3825
07/08/2020 00:00,7.4275,8.015
10/08/2020 00:00,7.11,7.63
11/08/2020 00:00,7.17,7.605
12/08/2020 00:00,7.4,7.775
13/08/2020 00:00,7.605,8.1325
14/08/2020 00:00,7.44,8.105
17/08/2020 00:00,7.705,8.235
18/08/2020 00:00,8.1925,8.605
19/08/2020 00:00,8.0725,8.57
20/08/2020 00:00,7.775,8.43
21/08/2020 00:00,7.63,8.07
24/08/2020 00:00,7.79,8.145
25/08/2020 00:00,7.56,8.0125
26/08/2020 00:00,7.49,7.84
27/08/2020 00:00,7.11,7.685
28/08/2020 00:00,7.465,7.91
31/08/2020 00:00,7.845,8.04
01/09/2020 00:00,7.7625,8.1325
02/09/2020 00:00,7.63,7.885
03/09/2020 00:00,7.615,7.975
04/09/2020 00:00,7.23,7.83
07/09/2020 00:00,7.475,7.88
08/09/2020 00:00,7.6425,8.0825
09/09/2020 00:00,7.57,8.0175
10/09/2020 00:00,7.3575,8.1425
11/09/2020 00:00,7.02,8.07
14/09/2020 00:00,7.0375,7.9275
15/09/2020 00:00,7.1625,7.9775
16/09/2020 00:00,6.7975,7.8775
17/09/2020 00:00,6.6175,7.8
18/09/2020 00:00,6.4,7.6925
21/09/2020 00:00,6.895,7.9125
22/09/2020 00:00,6.79,7.8225
23/09/2020 00:00,6.8075,7.865
24/09/2020 00:00,6.7025,7.8175
25/09/2020 00:00,6.52,7.6975
28/09/2020 00:00,6.5625,7.49
29/09/2020 00:00,6.6725,7.425
30/09/2020 00:00,6.4075,7.255
01/10/2020 00:00,6.5425,7.3425
02/10/2020 00:00,7.3175,7.2425
05/10/2020 00:00,7.6275,7.2825
06/10/2020 00:00,7.5775,7.2425
07/10/2020 00:00,7.5575,7.225
08/10/2020 00:00,7.26,6.8425
09/10/2020 00:00,7.1175,6.7275
12/10/2020 00:00,7.21,6.6975
13/10/2020 00:00,7.14,6.5675
14/10/2020 00:00,6.9325,6.355
15/10/2020 00:00,6.9775,6.5
16/10/2020 00:00,6.7475,6.2575
19/10/2020 00:00,7.175,6.435
20/10/2020 00:00,7.5625,6.7675
21/10/2020 00:00,7.8025,6.96
22/10/2020 00:00,7.5525,6.9175
23/10/2020 00:00,7.52,6.8325
26/10/2020 00:00,7.8575,6.9725
27/10/2020 00:00,8.18,7.1325
28/10/2020 00:00,8.675,7.4525
29/10/2020 00:00,8.255,7.4
30/10/2020 00:00,7.9475,7.1375
02/11/2020 00:00,8.2975,7.275
03/11/2020 00:00,8.36,7.2675
04/11/2020 00:00,6.785,6.445
05/11/2020 00:00,6.745,6.645
06/11/2020 00:00,6.8425,6.7825
09/11/2020 00:00,6.7375,6.585
10/11/2020 00:00,6.425,6.2725
11/11/2020 00:00,6.45,6.315
12/11/2020 00:00,6.305,6.395
13/11/2020 00:00,6.1025,6.235
16/11/2020 00:00,5.9825,6.045
17/11/2020 00:00,6.275,6.125
18/11/2020 00:00,6.17,6.075
19/11/2020 00:00,5.995,6.065
20/11/2020 00:00,5.855,5.89
23/11/2020 00:00,6.0525,5.9525
24/11/2020 00:00,6.1025,5.98
25/11/2020 00:00,6.3425,6.1875
26/11/2020 00:00,6.0025,6.1475
27/11/2020 00:00,6.0075,6.155
30/11/2020 00:00,6.2425,6.285
01/12/2020 00:00,6.595,6.5125
02/12/2020 00:00,6.865,6.69
03/12/2020 00:00,6.67,6.765
04/12/2020 00:00,7.025,6.8725
07/12/2020 00:00,7.31,6.9975
08/12/2020 00:00,6.85,6.7025
09/12/2020 00:00,6.865,6.6575
10/12/2020 00:00,6.74,6.7375
11/12/2020 00:00,7.055,6.9225
14/12/2020 00:00,6.9575,6.855
15/12/2020 00:00,6.83,6.7475
16/12/2020 00:00,6.735,6.7325
17/12/2020 00:00,6.7475,6.8825
18/12/2020 00:00,6.485,6.7125
21/12/2020 00:00,7.055,6.89
22/12/2020 00:00,6.89,6.7075
23/12/2020 00:00,6.7675,6.68
24/12/2020 00:00,6.52,6.6075
25/12/2020 00:00,6.58,6.6225
28/12/2020 00:00,6.67,6.585
29/12/2020 00:00,6.775,6.615
30/12/2020 00:00,7.0675,6.755
31/12/2020 00:00,6.825,6.5725
01/01/2021 00:00,6.815,6.5425
04/01/2021 00:00,7.0125,6.635
05/01/2021 00:00,6.805,6.4975
06/01/2021 00:00,6.675,6.4375
07/01/2021 00:00,6.5225,6.4225
08/01/2021 00:00,6.475,6.45
11/01/2021 00:00,6.895,6.625
12/01/2021 00:00,6.6075,6.42
13/01/2021 00:00,6.465,6.3125
14/01/2021 00:00,6.275,6.285
15/01/2021 00:00,6.25,6.27
18/01/2021 00:00,6.3575,6.3175
19/01/2021 00:00,6.1375,6.0975
20/01/2021 00:00,5.935,5.98
21/01/2021 00:00,5.915,6.075
22/01/2021 00:00,5.9025,6.0975
25/01/2021 00:00,5.88,6.0625
26/01/2021 00:00,5.7375,5.915
27/01/2021 00:00,5.9475,6.05
28/01/2021 00:00,5.8625,6.07
29/01/2021 00:00,5.745,5.965
01/02/2021 00:00,5.9025,6.09
02/02/2021 00:00,5.9975,6.1075
03/02/2021 00:00,5.96,6.0275
04/02/2021 00:00,5.9125,6.0425
05/02/2021 00:00,5.67,5.9075
08/02/2021 00:00,5.4775,5.8
